"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Add different products to basket, verify them on the checkout page, and fill in checkout details","SweetShop Basket and Checkout Tests","Sun Nov 02 16:31:23 UTC 2025","skipped","Sun Nov 02 16:31:23 UTC 2025","","","",""
"","30223","Add different products to basket and verify them on the checkout page, switch delivery to standard shipping","SweetShop Basket and Checkout Tests","Sun Nov 02 16:30:53 UTC 2025","broken","Sun Nov 02 16:31:23 UTC 2025","","","",""
