"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11215","Add different products to basket and verify them on the checkout page, switch delivery to standard shipping","SweetShop Basket and Checkout Tests","Fri Dec 19 10:58:02 UTC 2025","failed","Fri Dec 19 10:58:13 UTC 2025","","","",""
"","5390","Add different products to basket, verify them on the checkout page, and fill in checkout details","SweetShop Basket and Checkout Tests","Fri Dec 19 10:58:13 UTC 2025","passed","Fri Dec 19 10:58:19 UTC 2025","","","",""
