"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","Add different products to basket, verify them on the checkout page, and fill in checkout details","SweetShop Basket and Checkout Tests","2026-07-17","skipped","2026-07-17","","","",""
"","60510","Add different products to basket and verify them on the checkout page, switch delivery to standard shipping","SweetShop Basket and Checkout Tests","2026-07-17","broken","2026-07-17","","","",""
