"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30219","Add different products to basket and verify them on the checkout page, switch delivery to standard shipping","SweetShop Basket and Checkout Tests","Sun Nov 02 16:34:09 UTC 2025","broken","Sun Nov 02 16:34:40 UTC 2025","","","",""
"","28","Add different products to basket, verify them on the checkout page, and fill in checkout details","SweetShop Basket and Checkout Tests","Sun Nov 02 16:34:40 UTC 2025","skipped","Sun Nov 02 16:34:40 UTC 2025","","","",""
