"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6817","Add different products to basket, verify them on the checkout page, and fill in checkout details","SweetShop Basket and Checkout Tests","Sun Nov 02 16:31:49 UTC 2025","passed","Sun Nov 02 16:31:55 UTC 2025","","","",""
"","20572","Add different products to basket and verify them on the checkout page, switch delivery to standard shipping","SweetShop Basket and Checkout Tests","Sun Nov 02 16:31:28 UTC 2025","failed","Sun Nov 02 16:31:48 UTC 2025","","","",""
